decade,all_count,horror_count,horror_share
2020s,118081,9533,0.08073271737197348
2010s,169045,12045,0.0712532165991304
2000s,78734,4237,0.053814108263266186
1990s,46238,1780,0.03849647476101908
1980s,44381,1851,0.041707036795024896
1970s,40580,1540,0.03794972893050764
1960s,31872,746,0.023406124497991967
1950s,23864,342,0.014331210191082803
1940s,14727,199,0.01351259591226998
1930s,20585,170,0.008258440612096187
1920s,22085,112,0.005071315372424723
1910s,12975,69,0.005317919075144509
