tconst,primaryTitle,startYear,runtimeMinutes,genres,director_name
tt33297308,Dead Eyes,2026,,Horror,Richard E. Williams
tt35350208,Sarah Is Missing,2026,80,"Drama,Horror",Jacob Bateman
tt38862787,Rubber Nose Massacre,2026,81,Horror,Sam Gaffin
tt31710398,A Corpse in Kensington,2026,,"Comedy,Horror,Thriller",Brian Patrick Butler
tt39309505,Cabaret Absinthe,2026,71,Horror,Cosmotropia de Xam
tt2949118,First Witch,2026,,"Horror,Thriller",L.A. Lopes
tt36647890,The Mortuary Assistant,2026,91,Horror,Jeremiah Kipp
tt4948034,Zombikini,2026,,"Comedy,Horror,Sci-Fi",Jason Wright
tt37983272,Wicked of Oz,2026,,"Action,Fantasy,Horror",Aaron Mirtes
tt39311709,Andakagasam,2026,120,"Comedy,Horror",Gasnaper Khan
tt34385135,Colony,2026,,"Action,Drama,Horror",Yeon Sang-ho
tt27510184,Bhediya 2,2026,,Horror,Amar Kaushik
tt35257459,Chamunda,2026,,"Comedy,Horror",Amar Kaushik
tt39363553,Santhal Kaadu,2026,90,Horror,Sandeep S Dwivedi
tt32268156,11817,2026,,"Action,Horror,Sci-Fi",Louis Leterrier
tt36457928,Dracula Eternal,2026,85,Horror,Alan Smith
tt37593943,Irul Soozhum Iravinile,2026,,"Comedy,Drama,Horror",Siva G
tt39377192,The New Dawn,2026,69,"Action,Drama,Horror",Yosef Smith
tt32161887,Vampires Saga,2026,,"Action,Comedy,Horror",Zuber K. Khan
tt39382917,AnyMart,2026,,Horror,Yusuke Iwasaki
tt37561290,Karakkam,2026,110,"Comedy,Fantasy,Horror",Subhash Lalitha Subrahmanian
tt39382298,Bayam Unnai Vidathu,2026,,"Horror,Thriller",Ki. Mu. Elanchezhiyan
tt26702263,The Twelvemile,2026,,"Drama,Horror,Mystery",Brian Parks
tt32573398,Dark Distortion,2026,94,"Crime,Drama,Horror",Joseph Herrera
tt32141377,28 Years Later: The Bone Temple,2026,109,"Horror,Sci-Fi",Nia DaCosta
tt39393767,3 Blind Mice,2026,,Horror,Carmen Garcia
tt39395157,Welcome to G-Town,2026,84,"Comedy,Horror",Ben McQuaid
tt39395157,Welcome to G-Town,2026,84,"Comedy,Horror",Nathan McQuaid
tt39231777,Banned from Broadcast: My Three Wives,2026,,Horror,Toshikazu Nagae
tt35669487,No Rest for the Wicked,2026,,"Drama,Horror,Romance",Kasper Kalle
tt35062707,The Actor's Curse: A Tale of Twisted Fate,2026,,Horror,James Panetta
tt28459024,I Think I'm Alone Now,2026,,"Drama,Horror",Scott Slone
tt39523061,Nightmare Transmission,2026,80,Horror,Andrew H. Enriques
tt39523061,Nightmare Transmission,2026,80,Horror,Randy Spears
tt39523061,Nightmare Transmission,2026,80,Horror,Scott Spears
tt38839304,Sebelum Dijemput Nenek,2026,103,"Comedy,Horror",Fajar Martha Santosa
tt21297858,Doctor Imperfect and the Perfect Man,2026,,"Comedy,Drama,Horror",Marco Carlson
tt37677934,The Covenant,2026,89,Horror,Alberto Serra
tt39368498,American Dollhouse,2026,87,"Horror,Thriller",John Valley
tt35062707,The Actor's Curse: A Tale of Twisted Fate,2026,,Horror,Derek Braasch
tt35845072,Curse of Griffith Park,2026,,"Documentary,Horror,Sci-Fi",Victor Huesca
tt34548453,"The Hole, 309 Days to the Bloodiest Tragedy",2026,113,"Crime,Horror,Mystery",Hanung Bramantyo
tt39601354,Trass,2026,,"Horror,Thriller",Nirajan Mehta Manjit
tt33097798,Best Served Cold,2026,98,"Horror,Thriller",Richard Somes
tt33075482,The Great Beyond,2026,,"Drama,Fantasy,Horror",J.J. Abrams
tt39195628,Penunggu Rumah: Buto Ijo,2026,78,"Horror,Mystery",Achmad Romie
tt34440913,Family Movie,2026,81,"Comedy,Horror",Kevin Bacon
tt37501890,Babysitters Vs. Vamps,2026,,Horror,Brian Dorton
tt39373119,Tape Me,2026,122,Horror,John Joyner
tt28682323,The Strangers: Chapter 3,2026,91,Horror,Renny Harlin
tt33999471,Rock Springs,2026,96,"Drama,Horror,Sci-Fi",Vera Miao
tt27575701,Demon Squad: Tooth and Claw,2026,97,"Fantasy,Horror,Mystery",Thomas Smith
tt17346570,Body Count,2026,,Horror,Hunter Johnson
tt35062707,The Actor's Curse: A Tale of Twisted Fate,2026,,Horror,Will Devokees
tt39229853,Envelop,2026,82,Horror,Lucas K. Labrecque
tt39205756,Bowels of Hell,2026,111,Horror,Gustavo Vinagre
tt36282134,Gekijoban Mononoke Dai-San-Sho: Hebigami,2026,,"Animation,Horror,Mystery",Kenji Nakamura
tt26681192,The God of Frogs,2026,,Horror,Adrian Bobb
tt33096650,Grind,2026,144,"Comedy,Horror,Sci-Fi",Ed Dougherty
tt39308939,Walk If You Can,2026,,Horror,Adonis Morataya
tt37269455,Neighbor,2026,,Horror,Christian Jude Grillo
tt35682658,Infirmary,2026,87,Horror,Nicholas Pineda
tt10377864,Boiúna: Legend of the Amazon,2026,,"Action,Horror",Mike P. Nelson
tt39373119,Tape Me,2026,122,Horror,Christopher Eric Outridge
tt38589433,Never After Dark,2026,105,Horror,Dave Boyle
tt30575166,The Bosk,2026,,Horror,Joe Lujan
tt38632432,The Shadow in My Sleep,2026,45,"Horror,Mystery,Thriller",Richard Samson
tt37269300,Slasher summer,2026,,Horror,Ty French
tt38073750,The Silent Drift,2026,,Horror,Ty French
tt21321726,The Raven,2026,97,"Horror,Mystery,Romance",Gregori J. Martin
tt33318105,Human Hibachi 3: The Last Supper,2026,,Horror,Mario Cerrito
tt39389942,Episode 12,2026,95,Horror,Shawn Robinson
tt34440913,Family Movie,2026,81,"Comedy,Horror",Kyra Sedgwick
tt14316514,Sweet Brother,2026,,"Drama,Fantasy,Horror",Layke Anderson
tt33763941,Passenger,2026,,Horror,André Øvredal
tt39238823,The Final Night,2026,76,Horror,JT Wight
tt38630600,Mountain King,2026,90,Horror,Gabrielle Christensen
tt36282134,Gekijoban Mononoke Dai-San-Sho: Hebigami,2026,,"Animation,Horror,Mystery",Tomoaki Koshida
tt38525792,The Killers Keepstake 3,2026,,Horror,Emily Robertson
tt8036976,Send Help,2026,113,"Horror,Thriller",Sam Raimi
tt34905458,The Twig Man,2026,61,Horror,Sasu Kerman
tt38453355,Road Kill,2026,70,Horror,Nicholas Carr
tt31720985,Stalker,2026,,"Drama,Fantasy,Horror",Korea Black
tt39368474,Black Zombie,2026,90,"Documentary,History,Horror",Maya Annik Bedward
tt39303228,Dinogeist,2026,87,Horror,John Migliore
tt38938328,Hüddam 6:Cinnet,2026,,"Horror,Mystery,Thriller",Utku Uçar
tt38772539,The Convenience Store,2026,,"Horror,Thriller",Jirô Nagae
tt32093754,The Janitor: Overtime,2026,90,"Action,Crime,Horror",Rocco Magone
tt37141818,Assault on Fir Tree Farm,2026,,Horror,Matthew Cooper
tt34428069,The Whitby Goth Weekend Horror,2026,,Horror,Matthew Cooper
tt38792054,Meet the Sickos,2026,70,Horror,Raheem Roher
tt39392225,The Stain,2026,,Horror,Ning Bhanbhassa Dhubtien
tt33978029,Ready or Not 2: Here I Come,2026,104,"Comedy,Horror,Thriller",Matt Bettinelli-Olpin
tt37272231,Do Not Disturb,2026,135,Horror,Sanjay Niranjan
tt36847396,Primal Darkness,2026,75,Horror,Dillon Brown
tt28060501,Blood Totem,2026,,Horror,Robert Conway
tt37916800,Smile in the dark,2026,,Horror,Jordi Regàs
tt39176077,Puzzled Literature,2026,74,Horror,Lasheda Wallace
tt31728330,They Will Kill You,2026,94,"Action,Comedy,Horror",Kirill Sokolov
tt31068177,Blurred,2026,,"Crime,Horror,Thriller",Heléna Antonio
tt38940677,Can I Be Frank?,2026,,Horror,Brett Klein
tt38941660,The Influencer,2026,,"Horror,Romance",Athit Ariyawongsa
tt27790748,The Girl Inside the Photograph,2026,108,"Horror,Sci-Fi",David Michán
tt38707343,The Interrogation Room,2026,,"Crime,Horror,Thriller",Heléna Antonio
tt8702454,The Third Parent,2026,,"Horror,Sci-Fi,Thriller",David Michaels
tt36101525,Be My Valentine,2026,,Horror,Stefanie Davis
tt12308488,Patriarch,2026,105,"Horror,Sci-Fi,Thriller",David A. Roberts
tt14500286,The Yeti,2026,91,Horror,William Pisciotta
tt17346570,Body Count,2026,,Horror,Alexander T. Hwang
tt37481495,Aatma,2026,,Horror,Sanjay Niranjan
